id,name,gender,dob,city,country
27-3830719,Earl Grant,M,5/29/1991,Little Current,Canada
48-0561730,Louis Green,M,9/19/1995,Church End,United Kingdom
30-5376925,Kathryn Mendoza,F,3/27/1994,Lynchburg,United States
50-9673266,Joshua Fowler,M,9/18/1992,Greensboro,United States
65-6604040,Judy Carroll,F,11/5/1996,Uitenhage,South Africa
25-7005029,Ralph Perkins,M,11/1/2002,West Palm Beach,United States
17-0710579,Janet Hernandez,F,8/13/1992,Greensboro,United States
65-0192975,Philip Shaw,M,8/19/1994,Houston,United States
38-5766835,Jane Perez,F,5/26/1979,Chattanooga,United States
21-4994074,Willie Warren,M,6/10/2005,Rockford,United States
73-7582238,Ruth Moreno,F,1/22/1986,Charlemagne,Canada
39-5242143,Benjamin Berry,M,7/12/1995,Renfrew,Canada
54-6248305,George Hall,M,11/12/2002,Midrand,South Africa
55-1575984,Patrick Perry,M,12/18/1978,Birmingham,United States
51-1469001,Kimberly Patterson,F,6/29/1998,Mossel Bay,South Africa
48-2945430,Elizabeth James,F,5/26/2000,Beaconsfield,Canada
61-4011460,Jose Davis,M,5/9/1982,Saint-Bruno-de-Montarville,Canada
56-2515834,Virginia Romero,F,2/4/1984,Washington,United States
27-5507780,Martin Moore,M,5/26/1985,Gananoque,Canada
44-7219488,Kenneth Foster,M,3/23/1993,El Paso,United States
14-0435775,Johnny Alexander,M,5/4/1981,Port Moody,Canada
10-7084415,Julia Young,F,4/28/1984,Staten Island,United States
62-5021340,Justin Jones,M,6/14/1985,Roberval,Canada
58-4124776,Jimmy Little,M,1/3/1993,Niverville,Canada
81-2654767,Kathy Fields,F,12/17/1998,Stockton,United States
94-6643354,Charles Moore,M,11/7/1985,Erie,United States
37-8053497,Keith Montgomery,M,3/25/1998,Senneterre,Canada
70-9968243,Kimberly Bowman,F,5/17/1996,Vredenburg,South Africa
31-3743602,Paul Thomas,M,11/3/1985,Victoria West,South Africa
33-9672348,Paula Diaz,F,9/18/2002,Bronx,United States
72-6389235,Jennifer Boyd,F,9/18/1992,Miami,United States
09-2843383,Carlos Freeman,M,2/17/1996,Jackson,United States
87-0651546,Martin Duncan,M,7/11/1988,Baton Rouge,United States
81-6528972,Wayne Hill,M,12/21/1996,Bonnyville,Canada
93-8495870,Eric Dixon,M,10/6/1999,Minnedosa,Canada
83-1081631,Robin Price,F,6/17/1977,Oklahoma City,United States
19-7318597,Craig Martin,M,1/15/1992,Hyattsville,United States
09-7261187,Jennifer Henry,F,9/2/2001,El Paso,United States
04-6516321,Lawrence Stewart,M,4/29/1981,Saint-Lin-Laurentides,Canada
44-2745251,Sandra Garrett,F,9/7/1997,Lumby,Canada
16-7703451,Deborah Bailey,F,5/8/1996,Roanoke,United States
01-1076657,Carl Little,M,2/18/2003,Nipawin,Canada
55-8369079,Wanda Ward,F,8/11/1992,Anchorage,United States
70-1861376,Shirley Powell,F,1/15/1992,Pasadena,Canada
04-1708323,James Knight,M,2/8/1980,Jacksonville,United States
05-2149540,Ralph Gordon,M,7/3/1987,Sainte-Agathe-des-Monts,Canada
21-5376437,Louise Walker,F,12/13/1998,Montgomery,United States
37-5491932,Mary Watson,F,9/14/1987,Newark,United States
83-8562000,Gloria Wood,F,2/7/1991,Boston,United States
60-1475097,Juan Harper,M,6/22/1981,San Jose,United States
47-2179054,Juan Foster,M,2/22/1989,Plettenberg Bay,South Africa
76-4617121,Roy Payne,M,2/1/1995,Sainte-Anne-de-Bellevue,Canada
12-6720857,Christina Green,F,10/10/1992,Washington,United States
12-3397841,John Morrison,M,2/13/1995,Miami,United States
34-1633689,Jane Chavez,F,1/1/1994,Roanoke,United States
36-1589811,Norma Dean,F,4/24/1981,Columbus,United States
20-2864256,Jerry Schmidt,M,8/25/1994,Springfield,United States
71-5989910,Jane Frazier,F,2/15/1979,Orangeville,Canada
65-7838507,Steven Mccoy,M,3/3/1992,Salt Lake City,United States
38-2233333,Victor Powell,M,1/17/2003,Carletonville,South Africa
62-0830908,Deborah Harvey,F,8/22/1981,Papineauville,Canada
93-9133704,Earl Bowman,M,1/6/1978,Nelspruit,South Africa
20-8778719,Evelyn Brooks,F,9/28/1990,London,United Kingdom
98-1285011,Joseph Martin,M,1/11/1995,Ixopo,South Africa
73-2788714,Robert Owens,M,9/15/1994,Bronx,United States
88-2187638,Teresa Collins,F,3/25/1999,Pierreville,Canada
42-3366274,Laura Flores,F,5/17/1988,Pretoria,South Africa
41-8786965,Carl Reid,M,12/25/2000,Cincinnati,United States
30-8588543,Stephen Russell,M,6/29/1991,Vredenburg,South Africa
90-8138571,Andrew Reed,M,12/29/1983,New York City,United States
45-7573556,Phillip Hamilton,M,1/22/2003,North Cowichan,Canada
69-2732312,Edward Robertson,M,3/28/1993,Jamaica,United States
01-6715076,Daniel Riley,M,9/4/1997,Grand Forks,United States
25-1544606,Louise Chapman,F,9/11/1997,Boucherville,Canada
03-9043911,Larry Ramos,M,11/22/1976,Bethlehem,South Africa
00-7287876,Virginia Robertson,F,8/7/1989,Albuquerque,United States
47-5502745,Jason Cole,M,6/11/1977,Ashton,South Africa
28-7938992,Margaret Alvarez,F,3/19/1990,Lamont,Canada
38-2732538,Tina Griffin,F,6/28/2001,Marston,United Kingdom
84-2812953,Ryan Mendoza,M,6/6/1993,Pangnirtung,Canada
65-9918707,Amanda Adams,F,5/13/1997,Paterson,United States
40-0059149,Randy Grant,M,3/12/1993,Nashville,United States
52-6140882,Roy Morrison,M,9/2/1978,Terre Haute,United States
54-8696842,Richard Martinez,M,6/9/1977,Knoxville,United States
14-0693029,Ernest Sanders,M,10/24/1979,Mount Ayliff,South Africa
45-9267632,Matthew Ortiz,M,5/30/1993,Washington,United States
81-4297552,Amanda Bradley,F,1/20/1989,Ladner,Canada
26-1346465,Michael Griffin,M,8/14/1995,Fermont,Canada
62-2124841,Lori Clark,F,10/28/1985,Detroit,United States
99-0939065,Kelly Walker,F,2/2/1994,New Hyde Park,United States
28-6601775,Anne Phillips,F,7/11/1978,Osoyoos,Canada
42-3601726,Lois Moreno,F,10/11/1988,Hartford,United States
62-9121485,Todd Nguyen,M,10/7/1979,Merritt,Canada
21-5427309,Alan Morgan,M,5/16/2003,Saint Paul,United States
49-4973890,Charles Day,M,4/12/1999,Moorreesburg,South Africa
02-9867641,Joshua Webb,M,4/13/1999,Maple Plain,United States
69-6542473,Shirley Ferguson,F,4/7/1978,Phalaborwa,South Africa
61-1654023,Brenda Thompson,F,5/6/1984,Jefferson City,United States
46-4487217,Lillian Bell,F,4/16/1980,Tucson,United States
55-3464891,Raymond Hawkins,M,7/12/1990,Nashville,United States
52-2658689,Dorothy Rose,F,10/31/1989,Constantia,South Africa
76-3626876,Richard Cooper,M,4/26/1987,Rochester,United States
60-0737360,Walter Webb,M,3/18/1991,New York City,United States
87-5273386,Carolyn Miller,F,11/24/1994,Lloydminster,Canada
80-1395641,Albert Roberts,M,6/25/2002,New York City,United States
80-1284062,Christine Wilson,F,1/10/1982,Las Vegas,United States
90-5840059,Walter Daniels,M,9/25/1980,Watrous,Canada
83-4733242,Todd Stanley,M,8/21/1987,Scottsdale,United States
73-3197111,Teresa Turner,F,11/8/2000,Bothaville,South Africa
54-1523366,Cynthia Gordon,F,8/16/1976,Greensboro,United States
29-9776558,Marie Franklin,F,2/21/1996,Waterloo,Canada
69-2036614,Samuel Kim,M,6/24/1980,Racine,United States
94-7250345,Brian Perry,M,10/9/1982,Allentown,United States
98-4542754,Rachel Frazier,F,10/2/1993,Chicago,United States
01-7778677,Barbara Castillo,F,5/14/1981,Midland,United States
20-3948088,Heather Jackson,F,4/21/1980,Virginia,South Africa
92-2945223,Kenneth Scott,M,6/21/1996,Milton,United Kingdom
82-7934631,Samuel Ortiz,M,12/5/1980,Chicago,United States
59-3432843,Philip Castillo,M,2/14/2005,Deneysville,South Africa
19-0832199,Amanda Day,F,10/9/1994,Bellevue,United States
78-1174647,Chris Turner,M,2/17/1976,Austin,United States
09-5456264,Jean Fowler,F,1/10/1983,Thessalon,Canada
64-0667910,Benjamin Garcia,M,1/20/1983,Nelson,Canada
91-2115062,Martin Gardner,M,6/18/2004,Joliette,Canada
27-4754152,Shirley Harvey,F,3/25/1998,Lexington,United States
28-0703884,John Alexander,M,6/13/1998,Hudson Bay,Canada
37-6236404,Victor Wheeler,M,3/8/2005,Tucson,United States
30-1401782,Willie Russell,M,9/18/1976,Peoria,United States
96-0902594,Martha Barnes,F,1/30/2000,Durham,United States
71-8030892,Harry Boyd,M,10/30/2003,Boise,United States
77-5325590,Jean Ferguson,F,4/9/1986,Huntsville,United States
06-6344168,Lois Webb,F,6/20/1993,Bloomington,United States
85-8987677,Mary Howard,F,8/27/1990,Wilmington,United States
21-0495757,Daniel Young,M,9/22/1989,Bloemfontein,South Africa
91-0635463,Irene Gonzalez,F,10/14/1996,Markham,Canada
45-8164313,Elizabeth Welch,F,7/28/1983,Topeka,United States
48-3041168,Lisa Medina,F,8/16/1998,Gravelbourg,Canada
41-3491963,Elizabeth Snyder,F,1/14/2001,Vegreville,Canada
76-2061262,Thomas Sullivan,M,11/20/1995,Fort Pierce,United States
36-8262542,Anna Garcia,F,5/8/1993,Madison,United States
00-3904187,Donna Garza,F,5/21/1985,Bells Corners,Canada
14-3850109,Arthur Gonzalez,M,9/18/1990,Washington,United States
38-1420897,Kathleen Reyes,F,4/22/1978,Nanton,Canada
37-0702600,Sara Alexander,F,7/28/1981,Cincinnati,United States
24-1895732,George Howell,M,1/5/1978,Cradock,South Africa
94-6459784,Maria Wells,F,11/18/1982,New Bedford,United States
63-4795655,Kevin Coleman,M,2/9/1990,San Angelo,United States
25-1458295,Jesse Hughes,M,6/13/1993,Cape Town,South Africa
46-8448557,Bonnie Campbell,F,2/28/1986,Tulsa,United States
95-7434378,James Watson,M,1/22/1979,Collingwood,Canada
72-5469594,Ashley Carr,F,4/18/1981,Rosebank,South Africa
86-3305410,Russell Turner,M,7/7/1978,Inuvik,Canada
32-6679507,George Campbell,M,4/27/1996,Johnson City,United States
02-2539928,Robert Hansen,M,8/1/1998,Burgersfort,South Africa
45-1367280,Fred Morales,M,3/21/1993,Scranton,United States
02-3887409,Doris Harris,F,10/20/1980,Sherwood Park,Canada
82-3228804,Samuel Weaver,M,7/28/1985,Maniwaki,Canada
19-8059066,Kathryn Henry,F,10/5/1979,Kissimmee,United States
99-6114301,Emily Chapman,F,4/7/1989,Trenton,United States
24-8279904,Janice Young,F,2/8/2000,Gananoque,Canada
71-3748110,Karen Cooper,F,6/23/2000,New Orleans,United States
76-7961832,Terry Alvarez,M,9/15/1981,Richmond,United States
04-3733096,Arthur Elliott,M,1/1/1988,Adelaide,South Africa
36-2914725,Helen Gardner,F,9/5/1981,Springfield,United States
54-0628995,Jose Gardner,M,7/22/1990,Saint Louis,United States
91-7569922,Ernest Fisher,M,3/28/1979,Niagara Falls,Canada
90-5056655,Douglas Rogers,M,1/28/1991,Madison,United States
26-2806034,Lillian Ortiz,F,8/4/1978,Jacksonville,United States
32-3116581,Judy Ramos,F,8/4/1981,Havre-Saint-Pierre,Canada
36-2985970,Ruth Garcia,F,5/30/1984,Inglewood,United States
99-2913192,Sarah Richardson,F,2/11/1995,Salt Lake City,United States
38-8312073,Samuel Ross,M,6/1/1997,Baie-Comeau,Canada
92-9208097,Stephen Wallace,M,7/9/1983,Saguenay,Canada
84-2923817,Elizabeth Russell,F,9/26/2004,Agassiz,Canada
44-1770624,Christopher Stephens,M,1/14/1976,London,United Kingdom
45-5811584,Andrew Olson,M,4/26/2004,Staten Island,United States
01-9548745,Antonio Bryant,M,4/7/1993,Arlington,United States
93-9309667,Shirley Medina,F,10/2/2004,Grand Rapids,United States
29-8850890,Mary Ford,F,7/19/2002,Houston,United States
80-2590288,Richard Hughes,M,8/31/2000,Orange Farm,South Africa
42-8632922,Irene Bryant,F,5/31/2003,Fredericton,Canada
04-9871431,Denise Bradley,F,12/14/1981,Youngstown,United States
03-2886528,Peter Hunter,M,12/20/1994,Orlando,United States
82-1021725,Jerry Knight,M,3/6/2002,Albany,United States
81-3108344,Ruth Frazier,F,11/4/2001,Langford,Canada
17-0866090,Debra Morrison,F,5/21/1997,Saint Paul,United States
38-1061964,Wanda Reed,F,1/2/1980,Oudtshoorn,South Africa
78-5620018,Denise Taylor,F,3/26/2004,Charleston,United States
41-2593864,Eric Arnold,M,9/30/1978,Santa Rosa,United States
07-3328927,Ruth Turner,F,1/18/1992,Ponoka,Canada
21-9239556,Brian Reyes,M,6/19/1982,Coaticook,Canada
11-4303944,Jonathan Smith,M,10/14/2004,Des Moines,United States
59-6237496,Louis Fernandez,M,6/3/1981,Salt Lake City,United States
92-5276322,Marie Rose,F,1/19/1986,El Paso,United States
63-7636003,Clarence Ford,M,12/24/1989,Greytown,South Africa
01-2225038,Jonathan Sims,M,10/28/1991,Brooklyn,United States
37-6414422,Anna Morales,F,9/14/1983,London,United States
24-3974593,Julia Rice,F,12/12/2002,Medicine Hat,Canada
92-8880978,Henry Lewis,M,10/22/1984,Greensboro,United States
57-6444772,Nicole Gibson,F,12/26/1996,Washington,United States
07-0689946,Betty Franklin,F,2/15/1978,Bloomington,United States
04-6011731,Michael Bennett,M,9/15/1996,New York City,United States
61-4708266,Evelyn Owens,F,6/20/1977,Richibucto,Canada
37-9199846,Eric Hicks,M,9/8/2001,Dallas,United States
22-6261000,Karen Owens,F,12/28/1994,Tuscaloosa,United States
42-6650708,Heather Owens,F,10/14/1995,Albuquerque,United States
55-6243535,Martha Richardson,F,11/11/1979,Ceres,South Africa
53-6683209,Michael Webb,M,4/26/1984,Shreveport,United States
77-8070149,Nancy Richards,F,7/15/1992,White River,South Africa
73-9329519,Phyllis Miller,F,1/5/1976,Calvinia,South Africa
08-3224567,Deborah Olson,F,7/8/1982,Lorraine,Canada
67-2718674,Roy Jackson,M,11/29/1989,Newark,United States
86-0153853,Louise Perkins,F,12/23/1976,Camperdown,South Africa
66-7582669,Joyce Lee,F,3/21/1983,Saint Paul,United States
82-2742600,Stephanie Peters,F,10/6/1986,Austin,United States
79-9408802,Jeffrey Gordon,M,8/10/2001,Houston,United States
99-2069361,Karen Arnold,F,4/23/1982,Arlington,United States
16-4372821,Beverly Richardson,F,12/4/2004,Springfield,United States
66-3286964,Irene Ramirez,F,7/11/2004,Windsor,Canada
31-8185133,Joyce Duncan,F,5/2/1995,Pofadder,South Africa
89-3365955,Alan Russell,M,8/12/1979,Charlotte,United States
63-4127051,Janice Gibson,F,2/8/1983,Hudson Bay,Canada
59-0085408,Juan Moreno,M,4/16/2004,Swellendam,South Africa
98-0843718,Tina Cruz,F,10/2/1987,Burgeo,Canada
18-1662195,Mary Walker,F,9/28/2002,Durham,United States
20-2542568,Charles Woods,M,6/16/1989,New York City,United States
81-2957898,Philip Austin,M,8/21/2003,Houston,United States
63-7429130,Elizabeth Boyd,F,7/6/1978,San Jose,United States
31-1621575,Ann Lawson,F,6/21/1993,Miramichi,Canada
98-0900142,Jack White,M,4/4/1985,Saint-Rémi,Canada
78-8436728,Tina Price,F,10/18/1977,Virden,Canada
83-1525920,Tina Gonzalez,F,6/16/1986,Bothaville,South Africa
94-7239808,Dorothy Rice,F,10/5/1989,Albuquerque,United States
16-9333623,Eric Bryant,M,7/27/2002,Danbury,United States
61-4183580,Carl Henry,M,12/7/1983,Lansing,United States
65-9711630,Jason Dunn,M,1/11/1981,South Bend,United States
68-9678893,Paula Burns,F,10/18/1980,Kathu,South Africa
16-3873498,Juan Richardson,M,3/17/1984,Los Angeles,United States
08-1676398,Virginia Burns,F,4/18/2001,Lorraine,Canada
87-5249376,Rose Fox,F,7/22/1989,Thompson,Canada
71-6176564,Sara Greene,F,1/2/1983,Sunnyvale,United States
36-8039912,Todd Patterson,M,7/19/2003,Markham,Canada
68-5739969,Pamela Lopez,F,10/16/2004,London,United Kingdom
28-1700728,Jason Coleman,M,1/29/2002,Port-Cartier,Canada
19-8534397,Walter Kelly,M,6/1/1998,Topeka,United States
62-5351258,Patrick Wells,M,10/11/1999,El Paso,United States
02-1900775,Michelle Smith,F,8/3/2002,Irving,United States
31-9530400,Jennifer Butler,F,3/4/1985,Racine,United States
52-1636824,Louise Mills,F,5/7/1996,Lansing,United States
02-3786037,David Stone,M,9/19/1987,Thorpe,United Kingdom
79-5945617,Harry Moreno,M,12/25/1995,Pasadena,United States
85-8722859,Donna Elliott,F,7/16/1993,Terre Haute,United States
77-6608682,Diana James,F,1/14/1986,Washington,United States
25-6900357,Barbara Watson,F,3/1/1985,Mount Frere,South Africa
00-5561749,Andrea Russell,F,4/25/1993,Stamford,United States
02-5977908,Steven Wood,M,10/12/1977,Greytown,South Africa
98-5317129,Todd Palmer,M,2/16/2001,Hanna,Canada
24-0475036,Kathleen Austin,F,3/10/1984,Zephyrhills,United States
79-8248694,Jane Spencer,F,7/11/1981,Washington,United States
77-8753911,Thomas Taylor,M,3/25/2004,Lichtenburg,South Africa
30-1533766,Sara Weaver,F,5/21/1999,Campbellton,Canada
40-1047171,Jacqueline Nelson,F,4/8/1994,Belfast,Canada
11-0412721,Willie Green,M,12/16/1980,Topeka,United States
30-3836794,Sara Jackson,F,4/17/2002,Dallas,United States
46-4833646,Kelly Little,F,8/15/2000,Washington,United States
81-7220778,Jonathan Kelley,M,8/6/1989,Horton,United Kingdom
63-9153982,Jonathan Bowman,M,1/12/1990,Columbus,United States
77-8690444,Gary Medina,M,9/28/2004,Parrsboro,Canada
22-1625558,Christopher Ortiz,M,12/22/2003,Beaconsfield,Canada
71-8433510,Wanda Bishop,F,11/8/1988,Les Coteaux,Canada
18-2934477,Thomas Warren,M,5/31/2000,Bloemhof,South Africa
90-6524976,Bobby Elliott,M,9/29/1980,Diepsloot,South Africa
00-3138330,Roger Myers,M,8/14/1996,Houston,United States
52-5992068,Eugene Gomez,M,12/22/1984,Lynchburg,United States
45-0043640,Julie Morales,F,8/22/1981,Waco,United States
17-9995999,Julia Bell,F,8/8/1994,Vredendal,South Africa
29-6457582,John Hall,M,10/22/2000,Lady Grey,South Africa
01-8225418,Linda Fowler,F,11/1/1975,Alexandria,United States
94-1171418,Dennis Wilson,M,1/12/1976,Campbellton,Canada
60-5201273,Sara Hunter,F,11/30/1977,Kansas City,United States
86-7243224,Anne Hill,F,5/31/2003,Philadelphia,United States
22-0984682,Brandon Cooper,M,2/1/1987,North Bay,Canada
51-1521633,Anthony Scott,M,7/13/1995,Cincinnati,United States
51-4070622,Julie Stephens,F,12/31/1993,Toledo,United States
35-6879447,Angela Rose,F,3/26/2004,Fox Creek,Canada
39-9227214,Michael Gray,M,10/3/1998,Montréal-Ouest,Canada
83-7026397,Beverly Perkins,F,11/21/2002,Oklahoma City,United States
74-1402740,Jennifer Stevens,F,12/11/1990,Saint-Bruno-de-Montarville,Canada
25-6827089,Benjamin Peterson,M,9/23/1988,Alhambra,United States
03-4522553,Joe Dixon,M,11/11/1991,Swindon,United Kingdom
16-1441794,Robin Harris,F,12/19/1991,Denver,United States
69-1008298,Jack Graham,M,4/7/1976,Saint Paul,United States
43-8676397,Martin Elliott,M,8/1/2003,Hermanus,South Africa
26-4452070,Emily Kelly,F,5/16/1984,Silver Spring,United States
44-8719226,Gerald Robertson,M,11/17/1999,Volksrust,South Africa
60-0208167,Andrew Stewart,M,5/20/1980,Dalmeny,Canada
75-3660592,Harold Crawford,M,10/2/1996,Kokstad,South Africa
30-9536208,Betty Sanders,F,8/8/2003,Lubbock,United States
49-1533443,Lisa Barnes,F,10/1/1991,Petrolia,Canada
50-8223325,Terry Brooks,M,4/21/1986,Richmond,United States
88-3804824,Johnny Perkins,M,1/22/1982,Beaufort,United States
52-2363713,Joshua Davis,M,12/26/1996,Denton,United Kingdom
66-9418058,Frances Spencer,F,9/16/1982,Cumming,United States
09-8510620,Douglas Mccoy,M,6/27/1977,Swan Hills,Canada
74-0669553,Kimberly Hart,F,10/15/1990,Fort Worth,United States
75-2447682,Harold Morris,M,10/10/1991,Aston,United Kingdom
87-3625780,Victor Mccoy,M,7/5/1979,Grahamstown,South Africa
23-2132592,Debra Jenkins,F,8/14/1996,Austin,United States
54-0321937,Rachel White,F,3/12/1980,Saint Paul,United States
40-8449198,Carlos Nelson,M,9/6/1985,Springfield,United States
94-9160570,Richard Griffin,M,4/14/1989,Claremont,South Africa
69-4227425,Jacqueline Watkins,F,2/12/1993,Merton,United Kingdom
66-6752052,Judith Stone,F,9/5/1989,Pemberton,Canada
68-6336537,Lisa Porter,F,8/12/1994,Houston,United States
15-3349107,Kathy Moore,F,2/1/1984,Minneapolis,United States
13-7186486,Paul Grant,M,7/20/1987,Cincinnati,United States
13-9434674,Jimmy Medina,M,12/21/2001,Sainte-Sophie,Canada
35-4630713,Edward Stone,M,4/1/1983,Kokstad,South Africa
46-3363258,Adam Ellis,M,4/7/1986,Washington,United States
15-0703985,Jeffrey Ross,M,2/9/1987,Hanover,Canada
12-4616191,Amanda Black,F,7/30/1994,Saint Augustine,United States
23-9010960,Debra Powell,F,11/4/2003,Akron,United States
13-2818103,Sandra Bailey,F,8/1/1991,Lansing,United States
15-6395200,Angela Hart,F,2/19/2000,Lansing,United States
27-9673083,Catherine Gardner,F,6/20/1976,Beloeil,Canada
94-3222117,Juan Garrett,M,6/29/1994,New York City,United States
88-1120666,Amy Bishop,F,7/31/2004,Hermanus,South Africa
69-5460898,Frances Sanchez,F,8/21/1981,Atikokan,Canada
31-4492968,Doris Robertson,F,3/27/1993,Grand Rapids,United States
48-0052307,Frank Mccoy,M,5/12/1983,Kugluktuk,Canada
87-7651412,Donald Spencer,M,4/30/2000,Bowen Island,Canada
20-3830088,Richard Hudson,M,2/4/1999,Indianapolis,United States
83-8234564,Ronald Hansen,M,8/30/1982,Naples,United States
41-9841757,Ann Crawford,F,9/9/1988,Houston,United States
74-2085383,Thomas Fuller,M,11/16/2004,Bancroft,Canada
46-6816683,Mark Wallace,M,5/18/1982,Atlanta,United States
38-2885426,Sara Fernandez,F,5/10/1988,Sacramento,United States
10-1621573,Jeremy Kennedy,M,1/19/1984,Boca Raton,United States
10-7738600,Fred Hamilton,M,11/2/1981,Las Vegas,United States
77-1992548,James Larson,M,10/31/1979,Meadow Lake,Canada
73-0721105,Barbara Cruz,F,6/25/1977,Saint-Joseph-de-Coleraine,Canada
01-3295089,Annie Snyder,F,8/12/1998,Fullerton,United States
47-5916286,Rachel Ellis,F,2/28/1985,Gravelbourg,Canada
56-4424495,James Harper,M,10/5/1983,Bronkhorstspruit,South Africa
88-2968661,Pamela Richards,F,1/2/1992,Lynchburg,United States
40-5764568,Frank Bryant,M,10/2/1978,Seminole,United States
75-8321940,Ronald Martin,M,4/2/1982,Montgomery,United States
12-9483712,Antonio Howard,M,3/23/1995,Roanoke,United States
99-3102630,Michelle Elliott,F,6/20/1989,Harrismith,South Africa
42-4813733,Amy Mason,F,11/22/1987,Los Angeles,United States
24-3197905,Ralph Banks,M,6/19/1995,Oklahoma City,United States
51-7098657,Amanda Lawrence,F,7/26/1996,Ashley,United Kingdom
85-2609676,Joshua Ray,M,6/22/1979,Wichita,United States
18-6800147,Shirley Butler,F,11/11/1991,Cleveland,United States
25-6899503,Craig Thompson,M,2/14/2005,Dundee,South Africa
33-6639535,Sean Peterson,M,11/3/1980,Ashcroft,Canada
93-5328189,Lillian Bell,F,3/30/2001,Margate,South Africa
16-1629987,Ralph Foster,M,7/10/1984,Rayside-Balfour,Canada
06-6083124,Annie Stevens,F,10/18/1986,Montgomery,United States
00-9039325,Carolyn Palmer,F,6/22/1984,Whitwell,United Kingdom
77-5498671,Brenda Mitchell,F,7/17/2004,North Little Rock,United States
82-2546239,Laura Morris,F,6/28/1982,Birmingham,United Kingdom
08-6279111,Terry Olson,M,9/4/1981,Pasadena,United States
80-4908124,Willie Richards,M,12/2/1977,Saint-Bruno-de-Guigues,Canada
46-3679381,Deborah Hansen,F,10/29/1987,Smoky Lake,Canada
26-5406501,Ashley Ramirez,F,3/3/1978,Thabazimbi,South Africa
58-3866308,Lawrence Scott,M,9/30/1982,Louisville,United States
