"first_name","last_name","gender","birth_date","ethnicity","SSN","med_number","state","city","address","zip","id"
"Anthony","Clair","male","04/01/1911","Pacific Islander",163421584,4728346936,"Kentucky","Ujevabefel","1984 Dorilut Avenue",52996,338
"Desiree","Arreola","female","12/22/1987","Pacific Islander",473926330,5588643971,"Alaska","Rugasovatip","792 Dohohes Key",93754,407
"Sherleen","Yellowhawk","male","11/24/1981","Asian",635636709,6830340046,"Maine","Lobupihacal","830 Gigeisiz Trail",64258,505
"Olivia","Villanueva","male","9/13/1995","Black",600093279,5983688258,"Arizona","Kebmawhane","751 Pojufula Center",48058,65
"James","Price","male","03/05/1939","Asian",932396594,9851241667,"New York","Umuzuchoto","529 Ipumuso Avenue",20726,622
"Tessciela","Garbiso","female","7/30/1990","Pacific Islander",151651525,1045234491,"Maine","Ilukukidoj","277 Bepeuga Mill",74133,657
"Jacob","Summa","male","06/10/1965","Asian",910244638,8989698503,"Oklahoma","Ulenonotul","1379 Epopaso Extension",16607,651
"Crystal","Gonzales","female","10/28/1958","Pacific Islander",382104957,2062640929,"Utah","Wonogadiketa","385 Balkiwu Pike",26257,398
"Chasity","Rasmussen","male","2/28/1948","Asian",496230413,2244217252,"New Hampshire","Tomuviwulod","1464 Pahvah Ridge",93127,801
"William","Fuentes","male","07/04/1963","Pacific Islander",770327842,9727114443,"Kentucky","Buviojatewud","725 Jeveci Turnpike",15943,260
"Kyle","Rhule","female","07/05/1934","Black",542930395,7148197561,"Oregon","Jigcucirop","1358 Ituwodeh Trail",40865,698
"Jacob","Reaves","male","10/04/1955","Native American",617311598,6972850653,"South Dakota","Mosobomuga","1878 Sotoumij Path",98583,459
"Kendall","Cooper","female","9/19/1947","White",970939702,1372842541,"Iowa","Zahovivjew","1782 Howbeji Parkway",66734,9
"Ilea","Sounakhene","male","6/24/1970","Black",219541247,2224265100,"Nevada","Repubanuw","414 Jibifefi Avenue",27999,831
"Tyreque","Esquivel","female","3/27/1953","Pacific Islander",526215240,4187700340,"Virginia","Cedanuuteg","1739 Ipomtodu Trail",99425,904
"Raegan","Mcneely","male","09/05/1960","Pacific Islander",411401518,7302082567,"Georgia","Mowuzeboguwi","298 Levuwemu Park",61440,117
"Kendahl","Smith","male","10/25/1948","Asian",569812519,4742894013,"Indiana","Ibotfencike","1179 Nelunesa Court",39386,874
"Andrea","Yang","female","1/28/1948","Black",372292552,4708967368,"Louisiana","Uromakkuk","1282 Poskas Circle",55341,91
"Desmond","Barbour","female","08/05/1959","Pacific Islander",705193723,3659671420,"Mississippi","Tifpertoh","132 Pakcud Point",99504,148
"Francisco","Ornelas","female","10/17/1962","Black",602938862,4305663076,"Oregon","Pofrufhugu","1815 Mozagiw Place",79341,57
"Xavier","Shah","female","09/06/1940","Pacific Islander",218937805,4415727518,"Alabama","Lerozegeino","1570 Hevelok Ridge",92460,961
"India","Healy","female","01/02/1994","Native American",145707002,2131771010,"Indiana","Mopehantupe","875 Beblib Point",51338,337
"Jamie","Edgeman","female","09/10/1962","White",661896461,9161503554,"Pennsylvania","Cismufcib","1647 Olusese Mill",29946,238
"Jalen","Lopez Cerceda","female","06/10/1951","Pacific Islander",705852890,5940827486,"Wisconsin","Kazafumhuvo","657 Puwnuk Lane",23853,421
"Minh","Foster","male","11/09/1928","Asian",636581061,7464103198,"Iowa","Fegdajaipi","1458 Vawejene Grove",13788,211
"Dylan","Johnson","male","09/11/1961","Native American",808498535,8008229653,"Vermont","Jofuviipo","129 Pusuheka Boulevard",49535,757
"Charles","Han","female","08/11/1974","Black",830870409,9698090420,"Pennsylvania","Mezasuzdik","327 Kusicota Plaza",29530,373
"Chance","Okubo","female","10/20/2015","Pacific Islander",608188690,5682076618,"North Carolina","Noceafoheta","743 Cecigot Mill",17548,115
"Gabriella","Tate","male","06/04/1962","White",538143481,4363182367,"Indiana","Vozoacolvafa","1510 Emehine Trail",73228,330
"Amber","Warren","female","8/17/1947","Asian",563243287,3829997881,"Idaho","Lanudocuga","616 Ivomvem Point",99563,97
"Perla","Martinez","female","05/01/1979","Black",835277393,8415135197,"Maryland","Oroggiruzac","508 Anoigo Way",36879,914
"Molly","Carrington","male","2/24/1940","Asian",695957850,6068004519,"Louisiana","Wogjowurasu","1324 Sehihafo Circle",37893,581
"Precious","Yeung","male","12/11/1995","Pacific Islander",870028609,9719800907,"Michigan","Vekpavaaca","1817 Elehid Road",41367,606
"Victoria","Singh","male","11/22/1928","Pacific Islander",274465354,1162539729,"Virginia","Ucajvutmine","392 Ficede Plaza",66134,312
"Kayleigh","Williams","female","01/11/1995","Asian",388837350,1787974597,"Kentucky","Nitaruktiga","1017 Damopov Grove",81050,163
"Alison","Heimann","female","09/12/1985","Native American",855478623,6144378774,"Pennsylvania","Varifewgel","1657 Repcemu Street",65818,348
"Leah","Brown","female","5/19/2006","White",901252335,9579536893,"Oregon","Ladufahev","456 Jelikilo Junction",50142,712
"Theresa","Abeyta","female","02/09/1982","Black",424604249,2128761857,"South Dakota","Gikoawibrek","283 Fewujate Lane",98302,882
"Isaac","Velarde","female","3/13/1968","Black",548042521,9792730661,"Michigan","Epoacurzip","1487 Imejtod Key",64019,401
"Josef","Miller","male","10/10/1916","Asian",211456917,4363383589,"Vermont","Sepeivuvrad","1092 Codralo Pass",39134,299
"Amanda","Chak","female","12/19/1997","Black",935282917,2892028053,"Nevada","Mavehaguahet","1738 Davgalu Street",34221,557
"Israel","Nieves","male","6/13/1952","Black",755175458,3948601712,"Pennsylvania","Bobducopa","1447 Dasitit River",41702,803
"Savannah","Navajo","female","08/11/1939","Native American",718424472,7160943852,"Alaska","Ocakodacum","454 Tezpiba Road",30147,751
"Jessica","Mo","female","3/21/1939","Pacific Islander",445257902,2125824953,"South Carolina","Jivmafhed","469 Redvaji View",79867,470
"Dillon","Ramirez","female","02/01/1965","Pacific Islander",174725823,5124618654,"Kansas","Pakepucawar","718 Fohgut Highway",14316,365
"Katelyn","Thomas","female","10/16/1955","White",675777285,7051310730,"West Virginia","Nimbazbun","1430 Egajuwa Terrace",62041,895
"Camesha","Deboer","male","7/25/1904","Pacific Islander",813515867,3746406514,"Illinois","Zijtepacu","291 Ziwigovo Junction",98179,85
"Kevin","Herrera","female","6/24/1960","Asian",681562764,2867597159,"South Dakota","Pupisehnaw","353 Mudakeza Path",32719,494
"Joseph","Sinouansai","male","7/27/2011","Black",140965031,1146267645,"Hawaii","Firmuhasav","1479 Cejujofo Way",29328,447
"Jasmine","Mestas","male","12/25/1966","Asian",607951508,4107089224,"Missouri","Buzbeteico","1962 Ocenfub Loop",91645,486
"Kattian","Ramos","male","02/01/1944","Black",696248240,6260936455,"Maryland","Wimedipod","455 Cevlaf Pike",23839,423
"Isela","Vigil","male","02/05/1951","Black",305358112,8681987534,"New York","Bibiwilcefo","1098 Fuleopif Court",46236,428
"A'Tiana","Valdoria","female","04/11/1960","Pacific Islander",246409771,1936095359,"Mississippi","Simerufvuca","391 Ebijfoz Road",28877,23
"Noor","Regalado","female","08/08/2005","Pacific Islander",676886156,6917686693,"Pennsylvania","Curowuheoro","727 Uleezob Avenue",73890,410
"Sara","Ursery","female","10/06/1978","White",418103565,5201394768,"Washington","Vofiluglon","994 Sahafuwu Lane",25550,133
"Justin","Boydstun","female","05/09/1900","White",416225980,1113682648,"South Dakota","Kojzubkiba","666 Panopop Parkway",40157,896
"Yanyan","Schneck","female","12/15/1939","Asian",104850761,6150227316,"Nebraska","Zusubojkol","611 Cosmut Court",83626,890
"Helen","Trujillo","male","1/20/1947","Black",776580237,7153587142,"Wisconsin","Wewafisuugo","1062 Fonaeso Point",48457,876
"Brainard","Quintero","female","9/27/1928","Pacific Islander",382754348,2785038671,"Hawaii","Bomeriguhat","1641 Tidramu Heights",11974,967
"Joel","Moreno","female","03/08/1931","Pacific Islander",651209005,8360162026,"Texas","Emigajarkawa","1711 Apalzigi Plaza",71185,21
"Salome","Groesbeck","male","4/15/1960","Asian",560670810,7130137475,"California","Iwerohdole","311 Hodlih Drive",64155,222
"O'Shea","Manglona","female","12/18/1960","Pacific Islander",642624329,7612503434,"Nebraska","Rawiogujuf","143 Vaduaki Court",88508,44
"Christian","Mcguire","male","12/13/1976","Pacific Islander",559185670,5053926873,"West Virginia","Renenawukedi","242 Mitiota Terrace",85882,562
"Raelynn","Johnson","female","11/28/1961","Black",868957360,8102159789,"Colorado","Ivicpovbiji","1682 Emefiv View",58038,611
"Audrey","Dupuis","male","5/18/1992","Pacific Islander",175080660,7109965476,"Utah","Cawbondece","1279 Lewurebo View",94488,169
"Taylor","Garcia","male","12/11/1972","Black",451759979,3063888062,"New Hampshire","Vididiwet","130 Dajbej Circle",50399,311
"Cody","Bushey","male","3/15/1955","White",879923945,1148166196,"Missouri","Kerhehududu","684 Cuveegis Road",10354,690
"Elisha","Truong","female","9/15/1978","Pacific Islander",196617860,4895707072,"Arizona","Cuwsavozuj","1056 Geproza Grove",73654,416
"Tyleeia","Daw","male","7/24/1967","Pacific Islander",362822175,2481732034,"Utah","Roktaciweve","1802 Taggij River",43046,970
"Vincent","Mullins","female","03/12/1966","White",450644805,9157483463,"Idaho","Gisvufegelo","94 Waberuv Highway",83976,288
"Yoki","Sagel","male","1/13/1909","Asian",561033887,2765760935,"Ohio","Gigedarefik","865 Pawusinu Heights",48242,502
"Brooke","Galligan","female","1/20/1970","Black",262451695,9519946666,"Mississippi","Fogamarohu","478 Ihajpag Parkway",11714,54
"Blas","Williams","male","11/16/1991","Native American",598201227,5676238025,"Maine","Kogfunezaha","822 Murleh Point",12199,779
"Meghan","Atwater III","female","11/16/1986","White",576367282,7434648746,"Alaska","Jekowobefilu","1978 Cuvruni Drive",24870,701
"Khaleo","Wood","male","07/07/1925","Pacific Islander",186887310,8665752811,"Rhode Island","Selmesoeces","62 Jawjaf View",67790,577
"Journey","Varanai","female","8/29/1984","Asian",151534495,7247758268,"New Hampshire","Ipozogdid","1019 Wedjima Point",78705,542
"De Andre","Son","male","09/06/1972","Pacific Islander",291670645,2582741694,"Colorado","Fohiavidhos","1154 Fabipuzu Parkway",29810,456
"Isaac","Mangisel","female","1/13/1978","Pacific Islander",905975502,1960626621,"Nevada","Izuvijihide","240 Torwaze Point",72147,293
"Alexander","Trotman","male","07/08/1973","Asian",686718923,4038846160,"Hawaii","Firosobaevaz","1176 Zivukal Plaza",35265,227
"Marcus","Rahat","male","11/13/1962","Pacific Islander",245638360,3912441903,"Virginia","Liguvebsut","1810 Wahitin Street",93216,621
"Victoria","Salcido","female","11/24/1958","Pacific Islander",429407113,4009728025,"Arizona","Mikaliglen","120 Oziwum Key",45838,644
"Austin","Aviles","male","10/30/1960","Pacific Islander",397500476,7156923701,"Colorado","Ihejifulteg","812 Rihoedon Lane",38321,846
"Augustine","Felix","male","1/24/1936","Black",266268581,4958878559,"Kansas","Ijeuhuluw","621 Pomcuju View",52454,725
"William","Chiu","male","6/26/1978","Black",133961708,8281543820,"Alaska","Jijegotakaja","171 Owojig Grove",78543,272
"Sergio","Saldanha","male","7/23/1987","Black",277165450,8035170538,"Georgia","Elewucawzaf","614 Sahouluz Way",33936,379
"Ilana","Hazelman","female","6/15/1970","Pacific Islander",231871060,8644571823,"Vermont","Juwufopkipo","1390 Asamgum Pass",42605,526
"Dominique","Ruiz","female","3/13/1981","Black",885178129,4087924724,"Texas","Vunaepeeku","544 Degmip Court",87500,596
"Erik","Palermo","male","7/30/1939","White",688224039,7735638040,"Oregon","Kogrihegodo","1483 Ovafzij Trail",51431,549
"Ashley","Correa","male","11/02/1980","White",269034900,5511838216,"North Dakota","Agavimalez","480 Bahinija Center",55151,633
"Amanda","Jones","female","8/19/1950","Asian",178313028,9247422912,"Arkansas","Gokarenovudu","649 Mekzuk Glen",77966,897
"Vincent","Ashby","female","9/22/1971","Native American",678121700,3189470828,"Louisiana","Vabpugnil","412 Bodibeb Court",37721,642
"Josephina","Alvarez","female","10/08/1943","Black",874244123,9918338258,"Vermont","Jodmitviw","1722 Iwumos Square",18360,10
"Alondra","Ahmad","female","06/02/1955","Black",137350278,7158921163,"Delaware","Licetubavu","1984 Cuhoweno Plaza",71590,435
"Robert","Worley","male","10/26/1935","Asian",127150194,6133377897,"Idaho","Mizonegupew","1461 Fuvvah Boulevard",31661,697
"Christy","Contreras","female","7/13/1950","Black",662833858,5546405057,"Mississippi","Rawoifodduvi","1224 Nonulefi Ridge",84587,224
"April","Fajardo","male","02/06/1934","Black",690079332,7174814190,"Tennessee","Sodeliros","919 Ukeazu Heights",66254,13
"Marcus","Arnold","female","7/23/1967","Black",200230573,8817190606,"South Carolina","Muvkegvopu","354 Cecgin Heights",33076,868
"Cheyenne","Holiday","female","1/21/1941","Native American",652371513,2996534033,"Florida","Ewajgufihobo","542 Azafpeg Court",24879,944
"Marcus","Vahlbusch","male","6/27/1994","Native American",566783801,3622594204,"Michigan","Ridafonodoje","1701 Pehkuw Circle",14226,392
"Chelsea","Arellano","male","4/15/1973","Pacific Islander",205339311,2937194050,"Alabama","Otabgarcar","816 Rervek Plaza",43822,686
"Vicente","Maier","male","5/17/1943","Black",822049920,3423733023,"Ohio","Lilmennoli","758 Gunfuki River",92650,55
"Katrina","Robinson","female","8/15/1972","Asian",464577366,8564079707,"Kentucky","Forjulwuf","892 Kifreve Street",91618,51
"Krystel","Fairchild","male","12/19/1978","Black",574880544,8494921334,"Hawaii","Vapiwacuuroh","1433 Fukeisab Grove",81000,821
"Johnny","Ordaz","female","1/25/1988","Asian",224214033,3962723769,"Virginia","Jojdohoved","1015 Uweelu Loop",89131,403
"Connie","Lopez","male","04/11/2015","Pacific Islander",329361859,7546868738,"North Carolina","Nuziwipude","284 Cucnobu Drive",85090,135
"Damon","Riddick","female","4/25/1985","White",613198518,2847307203,"California","Feruzokfaza","236 Ohebefe Road",34637,136
"Stephanie","Jacquez","male","02/04/1997","Black",548424352,1069525033,"Oregon","Cejoriknevo","1585 Wucizuju Center",25883,810
"Sanjay","Mack","female","11/07/2009","Asian",440500901,8815705440,"Indiana","Nosjucivi","885 Hevienul Center",76306,692
"Betty","Trujillo","male","2/22/1980","Pacific Islander",211509681,2065331201,"South Carolina","Hakbotdedi","1206 Pibakat Square",11301,655
"William","Thomas","male","12/19/1967","Native American",537090828,4985395408,"Connecticut","Gigurabfob","1421 Dovucipu Court",27284,737
"Devon","Phillips","male","10/01/1999","White",297374289,4959572275,"Utah","Niputewuwuca","1624 Owojiz Parkway",75209,843
"Dewi","Iron Cloud","female","3/16/1943","Asian",403944404,4120617677,"Tennessee","Bevecopusug","829 Avildoti Glen",91016,201
"Michael","Bailey","female","10/22/1978","Asian",180020087,9104631419,"Oklahoma","Itogavemono","1486 Zimipiv Way",13702,630
"Leslie","Hamlin","female","9/19/1958","Asian",736731127,1018368779,"Arizona","Sazjigogese","890 Fifruv View",41032,930
"Seung","Williams","female","1/25/1966","Asian",126499133,8649399047,"Pennsylvania","Abagizawaz","540 Pecefife Heights",84055,307
"Miguel","Leamons","female","12/29/2002","Native American",698962795,5728777509,"Minnesota","Larcodbode","1379 Cekotafe Terrace",23957,595
"Michael","Doremus","female","4/13/1949","Native American",681051372,9311352155,"Massachusetts","Hovuhunow","886 Sutehut Pass",37126,408
"Camille","Tryon","male","07/08/1969","Pacific Islander",234132330,3863248918,"Georgia","Pulnermaz","653 Kikavi Terrace",56926,987
"Isaac","Truong","female","10/01/1928","Black",432078493,5923909541,"Florida","Karipofnub","883 Juzigota Plaza",66944,885
"Keith","Vigil","female","06/06/1945","Pacific Islander",520541447,1137797359,"Florida","Igaftunivawo","1036 Uhebten Street",17358,561
"Shavaughn","Palomares","female","07/03/1956","Pacific Islander",795002446,6750622614,"Minnesota","Welajufgubu","1175 Fuvzab Square",98868,532
"Galen","Tso","female","6/15/1970","Asian",838948610,1994130154,"Oregon","Igefgonorov","1580 Vukvogu Court",79205,48
"Erynn","Odean","male","1/21/1972","White",465011950,5137133223,"Alaska","Bekotinjicu","725 Abunaz Lane",74250,437
"Joseph","Bluford","male","07/01/1944","Asian",278083140,5672729640,"New Hampshire","Catoguvmija","1038 Zihoole Pike",52984,718
"Keyi","Snyder-Jones","male","08/12/1992","Asian",697489274,9549658836,"Illinois","Voguzusazo","1446 Suhnoj Point",58469,425
"Kiona","Chesney","female","10/30/1930","Native American",835281598,6050209386,"Maine","Jobarakemak","480 Nerloc Place",34941,346
"Camille","Salazar-Chavez","male","06/08/1955","Black",367510407,4694486335,"Ohio","Roveomahok","1854 Saspan Avenue",41192,744
"Jennifer","Dent","male","11/25/1947","White",731095433,2893976479,"Indiana","Vijhimikul","1096 Jabtefu Junction",89089,347
"Robert","Richardson","male","3/22/1999","Asian",579635010,8201666951,"Indiana","Dahucetarin","1497 Pocfuf Point",64893,911
"India","Myong","female","9/20/1988","Pacific Islander",728301757,6793961360,"Kentucky","Golautinrub","1483 Igevbon Circle",89593,998
"Cheyenne","Freeman","male","9/14/1926","Native American",949482360,6351359730,"Arizona","Itinhenrupa","945 Litvewe Boulevard",67269,604
"Kent","Childs","female","12/22/1992","Asian",202123595,8400411441,"Idaho","Pikfenrid","1818 Difvuk Trail",99021,521
"Javier","Zavala","male","10/01/2015","Black",733854682,2803657835,"Maryland","Mawudintah","1814 Najfuca Extension",54832,938
"Sasha","Arredondo","male","5/27/1926","Black",640813148,5117368345,"North Dakota","Esutbizkeg","1285 Wonavani Pass",99244,812
"Kelly","Walker","female","10/12/1963","Native American",975329221,2350926017,"Mississippi","Kehaesodege","1198 Cipirez Turnpike",63405,558
"Shagun","Thigpen","female","8/21/1972","Asian",827163757,8765591151,"Maryland","Sidkobpafi","312 Nokize Loop",11444,571
"Brandon","Harjo","female","10/17/1940","Asian",632202370,2396647545,"Minnesota","Emucapapo","368 Bivmehi Terrace",54213,625
"Emma","Sheldon","male","03/02/1966","Black",444964766,1643992257,"North Dakota","Pekgilarug","1873 Ipabfog Drive",78556,747
"Christophel","Jacket","male","9/30/1937","Asian",200691785,1212547548,"Oregon","Tulinaturese","1676 Ragazif Drive",46044,239
"Victoria","Noriega","male","5/22/1917","Pacific Islander",558710343,3918272449,"Missouri","Dadotiwuh","291 Heblim Pike",70725,520
"Edwin","Diaz","male","05/09/1957","Black",630682035,7910927320,"Rhode Island","Gukicewulelu","1857 Udowvap Place",90664,919
"Sydney","Cordova","male","12/18/1948","Pacific Islander",947182314,8400363804,"Ohio","Tokrategoce","678 Fodgep Manor",40466,783
"Audrianna","Augustino","female","12/26/1913","Black",737940126,4791017765,"North Dakota","Fojeesekmeha","535 Sufofov Lane",13029,822
"Enkhjin","Vigil","female","11/19/1952","Asian",503704538,6829306660,"Indiana","Tuvoditevom","892 Jofahefi Boulevard",61347,328
"Jasmine","Speights","female","04/04/1977","Asian",580548913,3802607638,"New York","Gegofovepuc","1302 Kehkez Lane",24241,654
"Tilane","Thompson","male","08/05/1969","Native American",895460920,7623761796,"South Carolina","Mogoeweslika","732 Muwowub Extension",34239,976
"D Marcco","Gallegos","female","2/27/1915","Pacific Islander",647838152,3382214996,"Michigan","Bonzoriiti","1099 Zokeme Glen",64209,370
"Sugey","Hickman","female","10/28/1985","Black",676782739,4433292002,"Minnesota","Omikdibaha","1397 Zebodon Court",40445,271
"Miguel","Nyberg","female","5/22/1905","Black",211719655,8208429749,"North Carolina","Dodilifijedo","1417 Fajfij Boulevard",62904,164
"Rozalyn","Moreno","female","8/29/2010","Pacific Islander",123246436,5481257117,"Missouri","Zejvuwujir","335 Padalebi Junction",40789,666
"Aryn","Aragon","male","06/06/1920","Black",707913055,5078184050,"New Jersey","Sucnahheze","893 Keghego Trail",52478,765
"Daniel","Chargualaf","female","3/13/1945","Black",866704936,1850900530,"Texas","Zestajgihu","755 Zujcib Road",47150,84
"Jera","Muya","female","6/15/1904","Native American",746546051,8617409771,"Kentucky","Nikbezozepe","262 Ebemojon Park",71074,784
"Ariel","Abbott","male","1/15/1940","White",356115809,2188281368,"Pennsylvania","Miminimidid","1760 Hitejove Path",25312,860
"Amanda","Jenkins","male","10/14/1981","Asian",892284024,8490967607,"Oregon","Zimpivadob","205 Isefhik Path",82495,427
"Arianna","Maestas","female","12/19/1992","Black",582459756,3027423854,"Tennessee","Pavcohatef","1593 Gapezak Point",89805,137
"Samantha","Carranza","male","7/15/1944","Pacific Islander",174764924,3293233047,"Maryland","Cezidazaler","1530 Hovucen Circle",42667,404
"Giovanna","Macdougall","male","08/06/1954","Black",438482714,7978857625,"Louisiana","Dacufurrade","747 Datedub Turnpike",92882,356
"Monique","Abachiche","male","12/11/1953","Native American",442157225,7324108578,"Kansas","Sedasizgic","1112 Cerosudu Road",14424,221
"Dontae","Tang","male","5/13/1993","Pacific Islander",978921327,5189754955,"Georgia","Komuivenvewe","1454 Uwepjah Center",95614,994
"D'Morea","Ortiz","male","7/30/1969","Pacific Islander",575625123,3728851699,"Alaska","Cinucesab","1556 Nopimoh Glen",91006,631
"Kristiana","Hardie","female","03/03/1961","White",597297176,1304639376,"Connecticut","Edelputuepuj","1398 Ricakura Extension",24374,880
"Leon","Fredericks","male","5/25/1988","Asian",113480604,6355984973,"Arkansas","Necuhuftug","436 Fipiecuc Trail",39556,190
"Olivia","Rines","female","1/26/1964","Black",706500518,9034496783,"Maryland","Akokzunicog","1115 Ewornub Key",50605,241
"William","Otto","male","11/23/1948","White",200464295,5776649885,"Illinois","Ufuwhudumimu","316 Zisajaju Center",75361,974
"Xiao Yun","Hoskins","female","07/12/1927","Asian",353652893,2934012003,"Missouri","Povajebubimu","763 Mawedes Pass",75822,565
"Ryan","Achziger","female","4/25/1981","Asian",960022966,9620420629,"South Dakota","Niwohulalu","1446 Pajgos Street",48713,69
"Ember","Trujillo","female","02/06/1988","White",533670405,6095872559,"Wyoming","Baponipan","75 Gihgoz Path",15707,780
"Nicholas","Pleas","female","9/14/1945","White",569348385,2719796525,"Washington","Ivuarerruj","1718 Wagagoh Mill",18262,414
"Surabhi","Lewis","female","4/22/1996","Asian",348249735,3960185316,"Idaho","Uvorfuzgozi","1128 Gabowuri Manor",53102,759
"Tori","Nakama","female","1/18/1972","Pacific Islander",324817791,1794574353,"Minnesota","Kopujahopep","1436 Ribowe Glen",38964,997
"Luke","Rademacher","female","01/07/1995","White",228332446,7817339084,"New York","Cijtugape","697 Lajemog Extension",23305,208
"Syed","Richardson","female","8/22/1954","Asian",234514603,6104694976,"Pennsylvania","Sugmihacolu","265 Vipbin Point",15746,889
"Brooklyn","Motazedi","female","02/01/1977","Pacific Islander",799598328,9088820865,"Arizona","Mihwanbul","1331 Iwukos Mill",88191,280
"Roshan","Kelly","female","8/25/2003","Asian",858676061,4587984828,"Rhode Island","Tagabuswowa","1775 Sarasise Heights",16162,363
"Birva","Gayman","male","01/05/1957","Asian",186980253,4508298967,"Washington","Jaflirevoco","1843 Icauwob Loop",23070,480
"Kaelin","Ma","male","9/15/1933","Pacific Islander",525777500,9693873724,"Washington","Babahiceteco","740 Lukija Lane",61620,283
"Sean","Martinez","male","07/07/1919","Asian",106705530,8086652118,"California","Fezotelgup","1496 Opifjuw Road",63888,925
"Stephen","Sam","male","9/29/1994","Native American",687561417,6652941497,"Vermont","Kimfovulub","1402 Hegalajo Point",93305,924
"Grant","Garcia","male","08/07/1977","Black",683860743,9356238108,"Tennessee","Hibcasuoji","597 Eririri Trail",50764,382
"Justine","Ho","female","7/28/2000","Pacific Islander",699291904,8323043692,"Arizona","Nekekuhehim","1412 Vahbob Park",43051,579
"Joseph","Williams","male","11/19/1953","Asian",101390023,5150557262,"Massachusetts","Ejuwonidica","646 Korpic Plaza",45025,443
"Christian","Chacon","male","7/27/1978","Black",609775567,4302345789,"Rhode Island","Wisusijanuro","842 Gawoceju Junction",45819,937
"Ashley","Francisco","female","08/11/1970","Black",733673769,4758168284,"Missouri","Nigkilgalo","1173 Bumvezi Path",74188,482
"Megan","Carrillo","male","6/18/1992","Black",769590962,1337565813,"Massachusetts","Howwoviwaj","1931 Sokguna Trail",49466,2
"Kiana","Camagong","male","12/24/1937","Pacific Islander",718001229,7619935485,"California","Lulookasid","1622 Tuzeneh Street",89988,575
"Andy","Smith","female","6/21/1939","Asian",467242625,4571968339,"Wisconsin","Otawbokuato","561 Vijeva Junction",40610,336
"Kaela","Courtney","male","05/07/1934","Asian",817077352,9899346411,"Arkansas","Ihititure","624 Emozofe Highway",94050,789
"Alejandro","Ye","female","10/05/1977","Black",786755171,6100920376,"Washington","Hudlumuzur","88 Rehikoda Junction",32916,424
"Anthony","Nguyen","female","8/19/1997","Pacific Islander",774010637,8748264712,"Oklahoma","Wabjiwwow","1520 Lovuofes Way",13707,126
"Hilary","Parks","female","01/02/1960","White",885541310,2134477296,"Hawaii","Nizbubufek","582 Zotlico Court",20148,178
"Xavier","Seo","female","2/19/1917","Black",891330424,1753672036,"Missouri","Hupuvuwral","355 Lasdano Square",23019,195
"Lindsey","Sherak","female","1/21/2013","White",487152653,8913714954,"Colorado","Rulvafram","1815 Zonvewo Turnpike",45401,171
"Steven","Ayele","male","6/29/1948","Asian",825135434,2364527859,"Colorado","Hiwovamarof","960 Hihilela River",64117,627
"Trenton","Milton","male","4/17/1921","White",886332250,5815529989,"New Mexico","Lisegopirez","713 Esepagu Extension",54305,762
